user_id_id	last_sub	total_points	rank	tries
google-oauth2|102785664084317442445	2017-10-01 16:47:02.963923	0	469	510510
google-oauth2|102811638274132186632	2017-09-26 06:39:20.850533	0	191	510510
google-oauth2|102889940973524840902	2017-09-26 14:16:15.348920	0	225	510510
google-oauth2|102901501402905561793	2017-09-27 16:45:09.501741	0	307	510510
google-oauth2|102917982184874905771	2017-09-30 07:53:14.218443	100	43	170170
google-oauth2|102963943779502495843	2017-09-26 14:05:02.798625	100	30	170170
google-oauth2|103039438003845470911	2017-09-27 18:07:19.318660	0	316	510510
google-oauth2|103181756456583409967	2017-09-28 14:28:30.413558	0	348	510510
google-oauth2|103234640091522425783	2017-10-02 16:22:19.233262	0	495	510510
google-oauth2|103266535079107013365	2017-09-27 14:47:48.588730	0	288	510510
google-oauth2|103283330859623942320	2017-10-08 04:02:14.966904	0	596	510510
google-oauth2|103285479905885092772	2017-09-25 16:19:26.378611	0	139	510510
google-oauth2|103287303596012557060	2017-09-25 13:41:34.427074	0	59	510510
google-oauth2|103295552693001475495	2017-09-25 17:14:52.809778	0	154	510510
google-oauth2|103296477322137948754	2017-10-13 05:51:41.409255	0	605	510510
google-oauth2|103344350366437700079	2017-09-30 22:22:15.781682	0	448	510510
google-oauth2|103355571522758207615	2017-09-30 12:45:37.685448	0	432	510510
google-oauth2|103421187062258689583	2017-10-04 13:20:42.620187	0	548	510510
google-oauth2|103648916494776076120	2017-10-02 16:18:38.503884	0	494	510510
google-oauth2|103678568562840352177	2017-10-02 15:24:33.516047	0	490	510510
